Sr,Name,Total Volume (cft),Branch
439,KKFMU/06/2020(b),584.55,Khaling Kharungla Unit
440,D/08/2021,850.4,Gidakom Unit
441,MTD/S223/2021,45.33,Lingmethang Unit
442,MTD/S219/2021,14.91,Lingmethang Unit
443,kkfmu/08/2021,572.44,Khaling Kharungla Unit
444,kkfmu/10/2021,131.35,Khaling Kharungla Unit
445,KKFMU/12/2020(b),336.25,Khaling Kharungla Unit
446,Adhoc/10 (C ) 2020-1,97.59,Zhemgang Unit
447,TD/179/2020,78.63,Rodungla Unit
448,Adhoc/10 (C ) 2020,97.59,Zhemgang Unit
449,"Ad/29,2020",21.55,Zhemgang Unit
450,"Ad/19,2021",436.26,Zhemgang Unit
451,"Ad/17,2021",32.91,Zhemgang Unit
452,UK/115/2021,1066.29,Karshong Unit
453,UK/108/2021,1520.86,Karshong Unit
454,UK/110/2019,953.52,Karshong Unit
455,UK/109/2019,3092.98,Karshong Unit
456,MTD/S216,40.96,Lingmethang Unit
457,"Ad/15,2021",173.43,Zhemgang Unit
458,RADH/15/2018-1,4602.4,Karshong Unit
459,DFMU/49/2019,54.2,Dongdeychu Unit
460,DFMU/23/2020,1071.94,Dongdeychu Unit
461,WSC/CUP/2021/268,184.75,Ramtokto
462,DFMU/10/2020 (b),154.22,Dongdeychu Unit
463,DFMU/10/2020 (a),65.03,Dongdeychu Unit
464,DFMU/10/2020,219.25,Dongdeychu Unit
465,SCD/16/2021,216.91,SamdrupJongkhar Unit
466,UK/96/2021,246.55,Karshong Unit
467,GAP/21/2021,35.81,Gasa Unit
468,TD/153/2020,2466.18,Rodungla Unit
469,MTD/S187,114.31,Lingmethang Unit
470,SR/75/2021,404.81,Samtse Unit
471,SR/73/2021,463.6,Samtse Unit
472,NTD/27/21,0,Nganglam Unit
473,SR/59/2021,0,Samtse Unit
474,SR/60/2021,0,Samtse Unit
475,D/184/2020,429.62,Gidakom Unit
476,"Adhoc/21,2021",190.87,Zhemgang Unit
477,"Ad/21,2021-2",83.9,Zhemgang Unit
478,"Ad/21,2021-1",83.9,Zhemgang Unit
479,KD/20/2019(B),14.01,Khotokha Unit
480,KD/03/2020-1,1164.66,Khotokha Unit
481,CT/36/2020-1,153.42,Chendebji Unit
482,CT/36/2020,153.42,Chendebji Unit
483,CT/05,84.48,Chendebji Unit
484,CT/03,390.26,Chendebji Unit
485,MTD/S170/2021,137.65,Lingmethang Unit
486,WFD/FPES-11/2019/500(F),13.92,Changkhaphu Unit
487,MTD/23/2021,1558.87,Lingmethang Unit
488,MTD/154/2020,1349.92,Lingmethang Unit
489,MTD/20/2021,1991.91,Lingmethang Unit
490,MTD/18(B)/2021,222.73,Lingmethang Unit
491,MTD/18/2021,352.52,Lingmethang Unit
492,KD/04/2020(A)-2,846.77,Khotokha Unit
493,KD/64/2019,1222.845333,Khotokha Unit
494,KEA/68/2020,209.51,Zhemgang Unit
495,MTD/S164/2021,22.08,Lingmethang Unit
496,GAP./06/2021,354.48,Gasa Unit
497,MTD/S160/2021,186.1,Lingmethang Unit
498,D/07/2021,391.48,Gidakom Unit
499,KD/30/2021,1252.34,Khotokha Unit
500,WFD/FPES-11/2019/500(D),20.13,Changkhaphu Unit
501,KD/116/2020,1478.61,Khotokha Unit
502,D/182/2020,369.55,Gidakom Unit
503,KD/04/2020(A)-1,1047.77,Khotokha Unit
504,"Ad/21,2021",114.8,Zhemgang Unit
505,KD/23/2020(A),1185.33,Khotokha Unit
506,PTD/14/2021,252.36,Nganglam Unit
507,KD/05/2020(A)-1,779.3,Khotokha Unit
508,Kkfmu/07/2021,289,Khaling Kharungla Unit
509,KKFMU/23/2020 (b),903.63,Khaling Kharungla Unit
510,Kkfmu/23(A)/2020-1,152.81,Khaling Kharungla Unit
511,Kkfmu/23(A)/2020,152.81,Khaling Kharungla Unit
512,"Ad/07,2018-2",47.27,Chendebji Unit
513,KD/03/2020,1205.1,Khotokha Unit
514,KKFMU/07/2020 (b),64.71,Khaling Kharungla Unit
515,KD/08/2020(A),717.16,Khotokha Unit
516,KD/05/2020(A),1021.18,Khotokha Unit
517,KD/04/2020(A),1213.99,Khotokha Unit
518,KKFMU/17/2020,535.76,Khaling Kharungla Unit
519,KKFMU/18/2020 (B),549.46,Khaling Kharungla Unit
520,KD/03/2020(A),228.43,Khotokha Unit
521,SJD/28/2021,97.96,SamdrupJongkhar Unit
522,NTD/5/2021,54.49,Nganglam Unit
523,SCD/12/2021,879.65,SamdrupJongkhar Unit
524,NTD/2/21,84.2,Nganglam Unit
525,UK/34/2019(B),685.31,Changkhaphu Unit
526,GPR/24/2021,25.25,Gelephu Unit
527,GPR/23/2021,82.89,Gelephu Unit
528,WSC/BP/21/135-2,13.19,Ramtokto
529,WSC/BP/21/135-1,13.19,Ramtokto
530,WSC/BP/21/135,13.19,Ramtokto
531,KKFMU/23/2020,1001.17,Khaling Kharungla Unit
532,KKFMU/16/2020 (c),667.2,Khaling Kharungla Unit
533,KKFMU/23/2020 (a),93.54,Khaling Kharungla Unit
534,KKFMU/16/2020-C,403.74,Khaling Kharungla Unit
535,JTD/09/2021,232.96,SamdrupJongkhar Unit
536,JTD/10/2021,688.74,SamdrupJongkhar Unit
537,WSC/MC/2021/130,8.83,Ramtokto
538,DFMU/23/2020 (F),986.46,Dongdeychu Unit
539,DFMU/12/2020,3553.67,Dongdeychu Unit
